symbol,date,entered,return_pct,ret_30m,full_return,entry_price,exit_price,exit_reason
USHAMART,2023-01-02 00:00:00,True,2.23,8.664772727272728,-2.901960784313731,188.95,193.35,trailing_stop
IRB,2023-01-02 00:00:00,True,0.28,5.631399317406139,1.1308562197092131,30.9,31.02,trailing_stop
TIMKEN,2023-01-02 00:00:00,True,-0.29,5.269043760129666,-1.833690012470945,3207.4,3201.15,close_1515
FIVESTAR,2023-01-03 00:00:00,True,0.16,4.245901639344258,-1.548985689573836,626.8,628.4,close_1515
MAZDOCK,2023-01-03 00:00:00,True,1.48,3.5018963337547464,1.612312202271886,408.3,414.75,close_1515
GRSE,2023-01-03 00:00:00,True,-0.75,3.1123139377537186,-1.1104381183121341,494.85,491.62,trailing_stop
NIACL,2023-01-04 00:00:00,True,-1.63,2.4812030075188054,0.8070432868672005,135.35,133.28,trailing_stop
CARBORUNIV,2023-01-04 00:00:00,False,0.0,2.380952380952381,3.322259136212625,,,no_pullback
HDFCLIFE,2023-01-04 00:00:00,True,-0.15,1.4273789649415618,-1.5883466381367752,599.7,599.4,close_1515
ENGINERSIN,2023-01-05 00:00:00,True,-0.16,6.392405063291136,0.77334919690661,83.35,83.3,trailing_stop
APARINDS,2023-01-05 00:00:00,True,0.27,3.135586102634452,-0.10315155134504687,1833.05,1839.75,close_1515
ANANDRATHI,2023-01-05 00:00:00,True,-1.03,2.775464890369137,-0.9316770186335372,369.1,365.65,close_1515
PAYTM,2023-01-06 00:00:00,True,-0.78,3.82407407407407,-1.00775885133327,555.0,551.2,close_1515
MMTC,2023-01-06 00:00:00,True,0.46,3.271692745376952,-0.9641873278236759,35.7,35.9,close_1515
GODREJIND,2023-01-06 00:00:00,True,-0.86,3.2094204571692395,1.1521252796420531,453.6,450.15,close_1515
KPITTECH,2023-01-09 00:00:00,True,-1.83,3.4363068379035058,-3.7315436241610676,742.5,729.66,trailing_stop
AEGISLOG,2023-01-09 00:00:00,True,-1.49,3.2276657060518703,-1.577331099944159,356.8,351.82,trailing_stop
GODFRYPHLP,2023-01-09 00:00:00,False,0.0,2.982107355864811,2.027027027027027,,,no_pullback
HINDCOPPER,2023-01-10 00:00:00,True,-0.34,4.34964450020912,-1.042084168336671,123.7,123.4,close_1515
VTL,2023-01-10 00:00:00,True,0.56,3.192684100754066,-0.6685323383084683,318.5,320.6,close_1515
ELECON,2023-01-10 00:00:00,True,-1.32,2.549651100375738,-3.166710285265643,188.8,186.49,trailing_stop
TATAINVEST,2023-01-11 00:00:00,True,-0.98,3.54318181818181,0.4719155380934613,2295.75,2275.56,trailing_stop
KPIL,2023-01-11 00:00:00,True,-0.25,3.02173701140462,-0.6528526823729861,521.85,521.07,trailing_stop
CHENNPETRO,2023-01-11 00:00:00,True,0.95,2.367941712204015,1.4234875444839807,229.85,232.26,trailing_stop
NAVINFLUOR,2023-01-12 00:00:00,False,0.0,3.3924050632911396,0.5337904015670956,,,no_pullback
RVNL,2023-01-12 00:00:00,False,0.0,2.613480055020621,1.6085790884718536,,,no_pullback
TIMKEN,2023-01-12 00:00:00,True,-0.54,2.574776193767189,-2.1011892637219782,3148.75,3134.97,trailing_stop
CGPOWER,2023-01-13 00:00:00,True,2.36,2.6981450252951094,2.003284072249597,300.5,307.9,close_1515
CYIENT,2023-01-13 00:00:00,True,-1.94,1.797954826384987,-3.3005850535379153,897.4,880.87,trailing_stop
MCX,2023-01-13 00:00:00,False,0.0,1.7276054201971611,3.522929833090255,,,no_pullback
HEG,2023-01-16 00:00:00,True,-1.3,6.328513865844998,-2.318323673651367,222.2,219.52,trailing_stop
NEWGEN,2023-01-16 00:00:00,True,0.7,6.0000000000000036,0.7447864945382324,200.2,201.8,close_1515
LTF,2023-01-16 00:00:00,True,0.88,4.498644986449871,-1.400414937759345,95.35,96.28,trailing_stop
MINDACORP,2023-01-17 00:00:00,True,1.58,3.2123212321232173,2.9418034534214357,237.4,241.4,close_1515
APARINDS,2023-01-17 00:00:00,False,0.0,3.053790110060456,3.1287605294825513,,,no_pullback
REDINGTON,2023-01-17 00:00:00,True,-0.85,3.01855441705898,0.10752688172042399,187.0,185.6,close_1515
USHAMART,2023-01-18 00:00:00,True,-1.9,5.107307796794337,-1.5507883173946757,195.8,192.28,trailing_stop
MFSL,2023-01-18 00:00:00,False,0.0,2.675063914697254,0.6801894813555233,,,no_pullback
APLAPOLLO,2023-01-18 00:00:00,False,0.0,2.5966104648629766,0.8960040766062214,,,no_pullback
CREDITACC,2023-01-19 00:00:00,True,-1.84,4.3337066069428944,-2.329075882794896,918.85,902.82,trailing_stop
PERSISTENT,2023-01-19 00:00:00,False,0.0,3.9291139240506285,3.649030497905101,,,no_pullback
KAYNES,2023-01-19 00:00:00,True,-1.82,3.251879699248126,-2.542630013957163,813.2,799.24,trailing_stop
ENGINERSIN,2023-01-20 00:00:00,True,-0.1,3.789224393132034,-0.11409013120366061,88.0,88.0,close_1515
KPIL,2023-01-20 00:00:00,True,2.22,3.3834586466165413,1.0181818181818223,541.55,554.15,close_1515
COFORGE,2023-01-20 00:00:00,True,-1.81,2.7846534653465347,-1.3847080072245637,836.5,822.22,trailing_stop
MAPMYINDIA,2023-01-23 00:00:00,True,-0.88,3.062780269058304,-1.4924074315798712,1133.55,1124.7,close_1515
INDUSTOWER,2023-01-23 00:00:00,True,-1.87,2.9309344167150218,-2.706512545813354,175.3,172.19,trailing_stop
TORNTPOWER,2023-01-23 00:00:00,False,0.0,2.600808654791821,4.377462988603688,,,no_pullback
NEWGEN,2023-01-24 00:00:00,True,-1.49,7.186210245205153,-4.303510758776897,219.05,215.99,trailing_stop
ZENSARTECH,2023-01-24 00:00:00,True,-0.91,4.642857142857145,-2.538395904436867,234.6,232.7,trailing_stop
AWL,2023-01-24 00:00:00,True,1.81,3.4482758620689613,1.0846560846560807,561.75,572.5,close_1515
GLAND,2023-01-25 00:00:00,True,-1.46,5.018450184501845,-6.535488404778636,1429.55,1410.12,trailing_stop
KARURVYSYA,2023-01-25 00:00:00,True,-1.48,3.4007352941176494,-2.5333333333333283,111.3,109.76,trailing_stop
SAREGAMA,2023-01-25 00:00:00,True,3.74,3.250872185220425,1.919827983412686,321.25,333.59,trailing_stop
SUPREMEIND,2023-01-27 00:00:00,True,0.75,3.8377509377962777,0.7542675664946408,2518.45,2540.0,close_1515
CHENNPETRO,2023-01-27 00:00:00,True,-1.28,2.7991452991453043,0.9353564747453752,240.0,237.16,trailing_stop
CIPLA,2023-01-27 00:00:00,True,-1.19,2.462741265575377,0.14306833897658447,1056.7,1045.15,close_1515
AEGISLOG,2023-01-30 00:00:00,True,4.62,7.055997597958265,4.473425886972371,359.25,376.22,trailing_stop
INDUSTOWER,2023-01-30 00:00:00,True,3.8,4.033430232558148,2.968913726859937,142.0,147.54,trailing_stop
NUVOCO,2023-01-30 00:00:00,True,-0.0,3.8231098430813057,-1.8136850783182101,359.45,359.8,close_1515
BLS,2023-01-31 00:00:00,True,1.62,8.289241622574952,-0.4343105320303925,181.5,184.63,trailing_stop
ELGIEQUIP,2023-01-31 00:00:00,True,-0.62,5.646051905024845,-0.8101398144518401,381.95,379.95,close_1515
TRIDENT,2023-01-31 00:00:00,True,1.37,3.7383177570093324,3.303303303303308,34.0,34.5,close_1515
APARINDS,2023-02-01 00:00:00,True,-1.24,8.381355932203386,1.64985534443663,1937.05,1914.92,trailing_stop
INOXWIND,2023-02-01 00:00:00,True,-1.71,5.5670103092783565,-13.085937500000005,25.5,25.09,trailing_stop
SONATSOFTW,2023-02-01 00:00:00,True,-1.34,5.44262295081968,-3.6380597014925513,316.5,312.57,trailing_stop
WELSPUNLIV,2023-02-02 00:00:00,True,-0.76,8.423493044822262,0.35637918745545255,69.35,68.89,trailing_stop
UTIAMC,2023-02-02 00:00:00,True,0.64,6.244204018547137,-1.8038987489089289,678.05,683.06,trailing_stop
DATAPATTNS,2023-02-02 00:00:00,True,-1.36,5.02937807176379,-0.7107170501723953,1407.35,1389.64,trailing_stop
TITAN,2023-02-03 00:00:00,False,0.0,3.5407956553596867,2.3332292642314574,,,no_pullback
AEGISLOG,2023-02-03 00:00:00,True,-0.92,3.4954407294832923,-2.2560405820317686,382.85,379.7,trailing_stop
BERGEPAINT,2023-02-03 00:00:00,True,1.69,3.135967394996043,2.2392974753018637,457.55,465.75,close_1515
AARTIIND,2023-02-06 00:00:00,True,3.15,8.587393392804628,2.0131804640245514,546.7,564.5,close_1515
PATANJALI,2023-02-06 00:00:00,False,0.0,5.875576036866359,2.1653971708378648,,,no_pullback
ELGIEQUIP,2023-02-06 00:00:00,True,-0.51,5.840437714721972,-1.2262563116133605,407.9,406.21,trailing_stop
TRITURBINE,2023-02-07 00:00:00,True,-1.6,11.018867924528298,-5.16655336505778,292.0,287.63,trailing_stop
ADANIENSOL,2023-02-07 00:00:00,True,0.12,10.522347421773544,-5.252984650369525,1290.05,1292.87,trailing_stop
AWL,2023-02-07 00:00:00,True,-0.58,8.934755506302812,1.4496439471007092,391.0,389.11,trailing_stop
ADANIENT,2023-02-08 00:00:00,True,-1.03,7.41770730272482,10.281048517587326,1978.0,1959.66,trailing_stop
CYIENT,2023-02-08 00:00:00,True,-0.65,3.641566603074844,-1.2506090628552817,914.75,909.75,close_1515
POLICYBZR,2023-02-08 00:00:00,True,2.74,3.0598669623059895,3.4853700516351096,457.4,470.4,trailing_stop
ACE,2023-02-09 00:00:00,True,2.39,5.02901353965185,-0.013154433043938797,375.45,384.8,close_1515
CUMMINSIND,2023-02-09 00:00:00,True,-1.42,4.740259740259741,-2.1822690638561717,1588.95,1568.0,trailing_stop
NYKAA,2023-02-09 00:00:00,False,0.0,3.363914373088677,0.0657462195923697,,,no_pullback
TECHNOE,2023-02-10 00:00:00,True,-1.55,4.656862745098046,-2.1857923497267846,384.25,378.67,trailing_stop
CARBORUNIV,2023-02-10 00:00:00,False,0.0,4.534593808435485,0.37267080745341613,,,no_pullback
JBMA,2023-02-10 00:00:00,True,0.64,4.480065762433201,6.805664830841862,257.7,259.6,trailing_stop
DELHIVERY,2023-02-13 00:00:00,True,1.83,3.3338917741665233,2.6426718547341226,313.1,319.15,close_1515
BALRAMCHIN,2023-02-13 00:00:00,True,-1.48,3.3147632311977655,-2.56133728767862,367.05,361.96,trailing_stop
NATIONALUM,2023-02-13 00:00:00,True,0.79,3.0040053404539386,-0.1166558651976713,76.57,77.25,close_1515
CYIENT,2023-02-14 00:00:00,True,-1.81,3.2062780269058324,-0.9233108842059526,932.3,916.3,trailing_stop
UPL,2023-02-14 00:00:00,False,0.0,3.106864826610056,0.11668611435237956,,,no_pullback
GLENMARK,2023-02-14 00:00:00,True,-1.85,2.180094786729855,-0.27829313543599,437.8,430.12,trailing_stop
LINDEINDIA,2023-02-15 00:00:00,True,0.26,4.536690647482017,-0.07432590533082661,3614.0,3627.2,close_1515
OLECTRA,2023-02-15 00:00:00,True,-0.24,3.654326865849295,0.16077170418007475,436.05,435.45,close_1515
GODFRYPHLP,2023-02-15 00:00:00,True,2.43,3.1787606405143083,1.655801073097562,1722.5,1766.05,close_1515
ATGL,2023-02-16 00:00:00,True,-0.12,10.35106591042441,-9.380123177810272,1095.0,1094.81,trailing_stop
ADANIENSOL,2023-02-16 00:00:00,True,-1.08,9.719635836954266,-8.858611098015174,1049.0,1038.75,trailing_stop
PIIND,2023-02-16 00:00:00,True,0.86,5.043588524330319,1.852969579913088,3343.0,3375.25,close_1515
BDL,2023-02-17 00:00:00,True,-0.82,3.0700778642936624,-5.460824519749625,465.9,462.56,trailing_stop
JKCEMENT,2023-02-17 00:00:00,True,-0.29,2.9290909090909154,0.07772341064456795,2845.0,2839.7,close_1515
POLYCAB,2023-02-17 00:00:00,True,-1.73,2.924092409240921,-3.4823318155582608,3085.8,3035.55,trailing_stop
