date,portfolio_return,market_cum
2023-01-02,-1.3015981923584878,1005212.3044155395
2023-01-03,-0.4490372018713614,1004132.4919843115
2023-01-04,0.7469852616476835,1000693.3108507199
2023-01-05,-0.18715979102399138,1003826.7314987441
2023-01-06,-0.373273633171631,995460.206121811
2023-01-09,-1.1939492323593999,993027.1644223686
2023-01-10,-1.7257755973035942,989601.9615090031
2023-01-11,0.31418346673481856,989137.3190979626
2023-01-12,-0.08627325789434295,985409.3070578269
2023-01-13,0.6418762839339789,989338.2086629142
2023-01-16,-1.0913173722908265,985012.1067574611
2023-01-17,1.9593636215414705,985665.0254556817
2023-01-18,-0.09153158647764369,985859.2937740495
2023-01-19,-0.5075584662823193,985096.99094526
2023-01-20,-0.260205440082134,980842.8732752651
2023-01-23,-0.04048566292984563,980241.7816791454
2023-01-24,-2.019083526185894,973567.8034712013
2023-01-25,-2.482997918233093,967120.1602421491
2023-01-27,0.5108974600722003,955681.1727347549
2023-01-30,1.7762181785046993,951516.1058520701
2023-01-31,0.5862843189403584,971704.5811561645
2023-02-01,-5.124713952351976,946290.4383686231
2023-02-02,-0.8194122038752906,940867.7285985491
2023-02-03,0.6721620525005175,944038.6951369647
2023-02-06,0.8841071077496852,946969.0046096294
2023-02-07,-3.0899646894421986,946348.1318762313
2023-02-08,4.071936502122385,953320.8877612499
2023-02-09,-0.8098924257692468,956556.9685802792
2023-02-10,1.564181096189498,958387.7787281398
2023-02-13,-0.11177376604738957,949931.3287817836
2023-02-14,-0.4616393017631878,953117.131708389
2023-02-15,0.4807489573156034,957798.5336231168
2023-02-16,-5.561921565304119,958970.7515408184
2023-02-17,-3.0551443082211063,953124.5566323209
2023-02-20,1.8156569800855649,952676.3503530619
2023-02-21,-1.6612501107783921,949475.5019373177
2023-02-22,-3.8803612146521305,943171.9487645999
2023-02-23,3.5215307887912353,951399.0810613425
2023-02-24,3.6322851586918268,948092.9914837052
2023-02-27,0.677353676337599,946741.730734788
2023-02-28,6.610250944872709,952323.6945197218
2023-03-01,0.18319173746460102,958437.9443485636
2023-03-02,-2.293309714880403,954965.1072972473
2023-03-03,0.9718575616519044,957097.6810443816
2023-03-06,0.7252873344030766,956424.8231070279
2023-03-08,2.2163720480045783,962589.1926278741
2023-03-09,0.8491971715030037,955152.7339350217
2023-03-10,-1.0384833253409527,960867.2859633614
2023-03-13,-0.7290606502499907,949325.5230105857
2023-03-14,-1.7296708257605358,944019.052822368
2023-03-15,-0.5316009284460163,939306.5142286861
2023-03-16,2.4389727561906644,951659.2075585402
2023-03-17,2.371286436481033,951112.3260358613
2023-03-20,-1.0959277784243677,949598.9846966485
2023-03-21,-1.9242966139789466,952421.9867734826
2023-03-22,-1.8279625283980117,950387.2285219334
2023-03-23,-0.30266237758343145,946597.7863219304
2023-03-24,-2.1765286735890546,936028.9311543365
2023-03-27,-1.7502747871986322,930503.3999724593
2023-03-28,-1.5203545366291251,927009.9630749432
2023-03-29,-0.10068831414657729,938405.1507072425
2023-03-31,-0.7951501435416062,938374.5080453195
2023-04-03,-0.8877706275482524,940906.6563848916
2023-04-05,0.5677735099874912,943930.9694434375
2023-04-06,-1.4345402871150623,949116.5522733125
2023-04-10,-1.4971893624300041,950425.6188070053
2023-04-11,3.4455498275297627,949406.0910202538
2023-04-12,2.2622374849752527,951856.7217191157
2023-04-13,-1.1281628402921247,951578.8545679232
2023-04-17,0.0021917968483998462,954737.9887691259
2023-04-18,-0.8366312645389582,954601.0080034232
