date,symbol,ret_30m,return_pct,low_return,stopped_out,realized_return,no_stop_return
2023-01-02,IRB,5.631399317406139,1.1308562197092131,-0.325203252032525,False,1.030856219709213,1.030856219709213
2023-01-02,TIMKEN,5.269043760129666,-1.833690012470945,-2.3551447784567148,False,-1.933690012470945,-1.933690012470945
2023-01-02,USHAMART,8.664772727272728,-2.901960784313731,-3.41089370703331,True,-3.1,-3.0019607843137313
2023-01-03,FIVESTAR,4.245901639344258,-1.548985689573836,-2.2702278083267946,False,-1.6489856895738362,-1.6489856895738362
2023-01-03,GRSE,3.1123139377537186,-1.1104381183121341,-2.2184300341296948,False,-1.2104381183121342,-1.2104381183121342
2023-01-03,MAZDOCK,3.5018963337547464,1.612312202271886,-1.0459742155193412,False,1.512312202271886,1.512312202271886
2023-01-04,CARBORUNIV,2.380952380952381,3.322259136212625,-0.6559726586185912,False,3.222259136212625,3.222259136212625
2023-01-04,HDFCLIFE,1.4273789649415618,-1.5883466381367752,-1.4520254104446753,False,-1.6883466381367753,-1.6883466381367753
2023-01-04,NIACL,2.4812030075188054,0.8070432868672005,-3.3662641785583562,True,-3.1,0.7070432868672005
2023-01-05,ANANDRATHI,2.775464890369137,-0.9316770186335372,-1.484480431848853,False,-1.0316770186335373,-1.0316770186335373
2023-01-05,APARINDS,3.135586102634452,-0.10315155134504687,-1.201942643188532,False,-0.20315155134504687,-0.20315155134504687
2023-01-05,ENGINERSIN,6.392405063291136,0.77334919690661,-1.0720667063728477,False,0.67334919690661,0.67334919690661
2023-01-06,GODREJIND,3.2094204571692395,1.1521252796420531,-0.16814258491200537,False,1.052125279642053,1.052125279642053
2023-01-06,MMTC,3.271692745376952,-0.9641873278236759,-2.0689655172413794,False,-1.064187327823676,-1.064187327823676
2023-01-06,PAYTM,3.82407407407407,-1.00775885133327,-2.5129210479415476,False,-1.1077588513332701,-1.1077588513332701
2023-01-09,AEGISLOG,3.2276657060518703,-1.577331099944159,-1.9470514077601875,False,-1.677331099944159,-1.677331099944159
2023-01-09,GODFRYPHLP,2.982107355864811,2.027027027027027,-0.009698850686184864,False,1.927027027027027,1.927027027027027
2023-01-09,KPITTECH,3.4363068379035058,-3.7315436241610676,-4.059139784946242,True,-3.1,-3.8315436241610676
2023-01-10,ELECON,2.549651100375738,-3.166710285265643,-3.3995815899581596,True,-3.1,-3.266710285265643
2023-01-10,HINDCOPPER,4.34964450020912,-1.042084168336671,-1.6853932584269617,False,-1.1420841683366711,-1.1420841683366711
2023-01-10,VTL,3.192684100754066,-0.6685323383084683,-1.1344211344211275,False,-0.7685323383084682,-0.7685323383084682
2023-01-11,CHENNPETRO,2.367941712204015,1.4234875444839807,-0.022266755733694663,False,1.3234875444839806,1.3234875444839806
2023-01-11,KPIL,3.02173701140462,-0.6528526823729861,-1.6266313599394784,False,-0.7528526823729861,-0.7528526823729861
2023-01-11,TATAINVEST,3.54318181818181,0.4719155380934613,-0.7014467338886453,False,0.37191553809346134,0.37191553809346134
2023-01-12,NAVINFLUOR,3.3924050632911396,0.5337904015670956,-1.0084568407396937,False,0.4337904015670956,0.4337904015670956
2023-01-12,RVNL,2.613480055020621,1.6085790884718536,-1.3377926421404682,False,1.5085790884718535,1.5085790884718535
2023-01-12,TIMKEN,2.574776193767189,-2.1011892637219782,-2.0932311021214547,False,-2.2011892637219783,-2.2011892637219783
2023-01-13,CGPOWER,2.6981450252951094,2.003284072249597,-1.7074372024298106,False,1.9032840722495967,1.9032840722495967
2023-01-13,CYIENT,1.797954826384987,-3.3005850535379153,-3.4216335540838854,True,-3.1,-3.4005850535379154
2023-01-13,MCX,1.7276054201971611,3.522929833090255,-0.22020012305300113,False,3.422929833090255,3.422929833090255
2023-01-16,HEG,6.328513865844998,-2.318323673651367,-2.5127863019790997,False,-2.418323673651367,-2.418323673651367
2023-01-16,LTF,4.498644986449871,-1.400414937759345,-2.5839793281653747,False,-1.500414937759345,-1.500414937759345
2023-01-16,NEWGEN,6.0000000000000036,0.7447864945382324,-1.089378559049264,False,0.6447864945382324,0.6447864945382324
2023-01-17,APARINDS,3.053790110060456,3.1287605294825513,-0.421179302045728,False,3.0287605294825513,3.0287605294825513
2023-01-17,MINDACORP,3.2123212321232173,2.9418034534214357,-0.5753249520562516,False,2.8418034534214356,2.8418034534214356
2023-01-17,REDINGTON,3.01855441705898,0.10752688172042399,-0.3237992444684418,False,0.0075268817204239835,0.0075268817204239835
2023-01-18,APLAPOLLO,2.5966104648629766,0.8960040766062214,-0.4333602413221659,False,0.7960040766062214,0.7960040766062214
2023-01-18,MFSL,2.675063914697254,0.6801894813555233,-0.3398058252427129,False,0.5801894813555233,0.5801894813555233
2023-01-18,USHAMART,5.107307796794337,-1.5507883173946757,-1.687435098650052,False,-1.6507883173946758,-1.6507883173946758
2023-01-19,CREDITACC,4.3337066069428944,-2.329075882794896,-3.8449146171195427,True,-3.1,-2.429075882794896
2023-01-19,KAYNES,3.251879699248126,-2.542630013957163,-3.4229828850855744,True,-3.1,-2.642630013957163
2023-01-19,PERSISTENT,3.9291139240506285,3.649030497905101,-0.984251968503937,False,3.549030497905101,3.549030497905101
2023-01-20,COFORGE,2.7846534653465347,-1.3847080072245637,-1.6826923076923077,False,-1.4847080072245638,-1.4847080072245638
2023-01-20,ENGINERSIN,3.789224393132034,-0.11409013120366061,-0.0573065902578764,False,-0.2140901312036606,-0.2140901312036606
2023-01-20,KPIL,3.3834586466165413,1.0181818181818223,-1.5823935976718682,False,0.9181818181818223,0.9181818181818223
2023-01-23,INDUSTOWER,2.9309344167150218,-2.706512545813354,-2.9420084865629357,False,-2.806512545813354,-2.806512545813354
2023-01-23,MAPMYINDIA,3.062780269058304,-1.4924074315798712,-2.079065510177408,False,-1.5924074315798713,-1.5924074315798713
2023-01-23,TORNTPOWER,2.600808654791821,4.377462988603688,-0.031982942430698776,False,4.277462988603689,4.277462988603689
2023-01-24,AWL,3.4482758620689613,1.0846560846560807,-2.1854071201973877,False,0.9846560846560807,0.9846560846560807
2023-01-24,NEWGEN,7.186210245205153,-4.303510758776897,-5.106190691369187,True,-3.1,-4.403510758776896
2023-01-24,ZENSARTECH,4.642857142857145,-2.538395904436867,-3.389469196333412,True,-3.1,-2.6383959044368672
2023-01-25,GLAND,5.018450184501845,-6.535488404778636,-6.24450925958463,True,-3.1,-6.635488404778636
2023-01-25,KARURVYSYA,3.4007352941176494,-2.5333333333333283,-2.888888888888889,False,-2.6333333333333284,-2.6333333333333284
2023-01-25,SAREGAMA,3.250872185220425,1.919827983412686,-1.7947537965945595,False,1.8198279834126858,1.8198279834126858
2023-01-27,CHENNPETRO,2.7991452991453043,0.9353564747453752,-3.496357960457859,True,-3.1,0.8353564747453752
2023-01-27,CIPLA,2.462741265575377,0.14306833897658447,-1.2037874101917367,False,0.043068338976584464,0.043068338976584464
2023-01-27,SUPREMEIND,3.8377509377962777,0.7542675664946408,-0.5896414342629555,False,0.6542675664946408,0.6542675664946408
2023-01-30,AEGISLOG,7.055997597958265,4.473425886972371,-1.4785883665783266,False,4.373425886972371,4.373425886972371
2023-01-30,INDUSTOWER,4.033430232558148,2.968913726859937,-1.0478519035976248,False,2.8689137268599367,2.8689137268599367
2023-01-30,NUVOCO,3.8231098430813057,-1.8136850783182101,-2.481151473612066,False,-1.9136850783182102,-1.9136850783182102
2023-01-31,BLS,8.289241622574952,-0.4343105320303925,-2.222824613716451,False,-0.5343105320303925,-0.5343105320303925
2023-01-31,ELGIEQUIP,5.646051905024845,-0.8101398144518401,-1.05910041841003,False,-0.9101398144518401,-0.9101398144518401
2023-01-31,TRIDENT,3.7383177570093324,3.303303303303308,-0.7485029940119761,False,3.203303303303308,3.203303303303308
2023-02-01,APARINDS,8.381355932203386,1.64985534443663,-3.2968464946572844,True,-3.1,1.5498553444366299
2023-02-01,INOXWIND,5.5670103092783565,-13.085937500000005,-7.226562500000005,True,-3.1,-13.185937500000005
2023-02-01,SONATSOFTW,5.44262295081968,-3.6380597014925513,-3.792353124028595,True,-3.1,-3.7380597014925514
2023-02-02,DATAPATTNS,5.02937807176379,-0.7107170501723953,-5.230499561787899,True,-3.1,-0.8107170501723953
2023-02-02,UTIAMC,6.244204018547137,-1.8038987489089289,-2.173123046733054,False,-1.903898748908929,-1.903898748908929
2023-02-02,WELSPUNLIV,8.423493044822262,0.35637918745545255,-3.4042553191489446,True,-3.1,0.2563791874554525
2023-02-03,AEGISLOG,3.4954407294832923,-2.2560405820317686,-2.944325481798715,False,-2.3560405820317687,-2.3560405820317687
2023-02-03,BERGEPAINT,3.135967394996043,2.2392974753018637,-1.0087719298245665,False,2.1392974753018636,2.1392974753018636
2023-02-03,TITAN,3.5407956553596867,2.3332292642314574,-0.7606543711576534,False,2.2332292642314573,2.2332292642314573
2023-02-06,AARTIIND,8.587393392804628,2.0131804640245514,-1.1578471279963776,False,1.9131804640245513,1.9131804640245513
2023-02-06,ELGIEQUIP,5.840437714721972,-1.2262563116133605,-2.9130907772271137,False,-1.3262563116133606,-1.3262563116133606
2023-02-06,PATANJALI,5.875576036866359,2.1653971708378648,-0.7633587786259541,False,2.0653971708378647,2.0653971708378647
2023-02-07,ADANIENSOL,10.522347421773544,-5.252984650369525,-7.132840629145341,True,-3.1,-5.352984650369525
2023-02-07,AWL,8.934755506302812,1.4496439471007092,-1.8422055647312923,False,1.3496439471007091,1.3496439471007091
2023-02-07,TRITURBINE,11.018867924528298,-5.16655336505778,-6.102494942683756,True,-3.1,-5.26655336505778
2023-02-08,ADANIENT,7.41770730272482,10.281048517587326,-3.154240869302749,True,-3.1,10.181048517587326
2023-02-08,CYIENT,3.641566603074844,-1.2506090628552817,-1.0025608892279116,False,-1.3506090628552818,-1.3506090628552818
2023-02-08,POLICYBZR,3.0598669623059895,3.4853700516351096,-1.9058899536987233,False,3.3853700516351095,3.3853700516351095
2023-02-09,ACE,5.02901353965185,-0.013154433043938797,-1.4492753623188406,False,-0.1131544330439388,-0.1131544330439388
